SRR1972886,G5570.1
SRR1972901,G5644.1
SRR1972960,G5988.1
SRR1972958,G5985.1
SRR1972920,G5735.2
SRR1972962,G5997.1
SRR1972900,G5640.1
SRR1972973,G6104.1
SRR1972956,G5982.1
SRR1972955,G5898.1
SRR1972949,G5853.1
SRR1972896,G5617.1
SRR1972972,G6103.1
SRR1972964,G6012.1
SRR1972954,G5897.1
SRR1972971,G6095.1
SRR1972970,G6091.1
SRR1972957,G5983.1
SRR1972882,G5529.1
SRR1972887,G5571.1
SRR1972948,G5844.1
SRR1972969,G6089.1
SRR1972965,G6020.1
SRR1972961,G5996.1
SRR1972880,G5520.1
SRR1972968,G6069.1
SRR1972943,G5796.1
SRR1972879,G5516.1
SRR1972967,G6062.1
SRR1972936,G5768.1
SRR1972966,G6060.1
SRR1972950,G5868.1
SRR1972963,G5998.1
SRR1972959,G5986.1
SRR1972894,G5614.3
SRR1972941,G5788.1
SRR1972930,G5760.1
SRR1972947,G5821.1
SRR1972889,G5579.1
SRR1972923,G5739.2
SRR1972942,G5790.1
SRR1972944,G5797.1
SRR1972888,G5577.2
SRR1972884,G5566.1
SRR1972916,G5700.2
SRR1972891,G5603.1
SRR1972914,G5693.2
SRR1972952,G5880.1
SRR1972975,W219.0
SRR1972877,G5500.2
SRR1972899,G5630.2
SRR1972878,G5502.4
SRR1972946,G5817.1
SRR1972953,G5881.1
SRR1972902,G5647.1
SRR1972890,G5585.2
SRR1972881,G5527.2
SRR1972893,G5614.2
SRR1972940,G5787.2
SRR1972906,G5684.1
SRR1972934,G5765.1
SRR1972898,G5621.1
SRR1972912,G5691.1
SRR1972924,G5740.1
SRR1972885,G5568.2
SRR1972909,G5687.1
SRR1972945,G5816.1
SRR1972913,G5693.1
SRR1972911,G5690.1
SRR1972918,G5731.1
SRR1972931,G5762.1
SRR1972910,G5689.1
SRR1972933,G5764.1
SRR1972917,G5723.1
SRR1972929,G5759.1
SRR1972897,G5620.1
SRR1972908,G5686.1
SRR1972883,G5532.1
SRR1972919,G5732.1
SRR1972892,G5613.2
SRR1972938,G5786.1
SRR1972974,W218.0
SRR1972926,G5748.1
SRR1972895,G5615.2
SRR1972922,G5738.1
SRR1972937,G5785.1
SRR1972925,G5743.1
SRR1972904,G5661.1
SRR1972907,G5685.1
SRR1972903,G5659.1
SRR1972932,G5763.1
SRR1972921,G5737.1
SRR1972927,G5749.1
SRR1972951,G5879.1
SRR1972915,G5699.1
SRR1972976,W220.0
SRR1972935,G5767.1
SRR1972939,G5787.1
SRR1972905,G5675.1
SRR1972928,G5756.1
